year,month,weather_type,value
2023,02,max_snowfall,0.9
2024,02,max_snowfall,M
2000,02,max_temp,64
2001,02,max_temp,61
2002,02,max_temp,63
2003,02,max_temp,50
2004,02,max_temp,59
2005,02,max_temp,56
2006,02,max_temp,62
2007,02,max_temp,49
2008,02,max_temp,68
2009,02,max_temp,65
2010,02,max_temp,46
2011,02,max_temp,67
2012,02,max_temp,62
2013,02,max_temp,55
2014,02,max_temp,56
2015,02,max_temp,43
2016,02,max_temp,61
2017,02,max_temp,70
2018,02,max_temp,78
2019,02,max_temp,65
2020,02,max_temp,62
2021,02,max_temp,54
2022,02,max_temp,68
2023,02,max_temp,70
2024,02,max_temp,M
2000,02,min_temp,19
2001,02,min_temp,16
2002,02,min_temp,19
2003,02,min_temp,8
2004,02,min_temp,15
2005,02,min_temp,16
2006,02,min_temp,15
2007,02,min_temp,8
2008,02,min_temp,10
2009,02,min_temp,12
2010,02,min_temp,17
2011,02,min_temp,15
2012,02,min_temp,20
2013,02,min_temp,17
2014,02,min_temp,9
2015,02,min_temp,2
2016,02,min_temp,-1
2017,02,min_temp,19
2018,02,min_temp,16
2019,02,min_temp,11
2020,02,min_temp,14
2021,02,min_temp,17
2022,02,min_temp,16
2023,02,min_temp,3
2024,02,min_temp,M
2000,02,total_percipitation,1.66
2001,02,total_percipitation,1.95
2002,02,total_percipitation,0.71
2003,02,total_percipitation,4.55
2004,02,total_percipitation,2.68
2005,02,total_percipitation,3.04
2006,02,total_percipitation,2.88
2007,02,total_percipitation,1.99
2008,02,total_percipitation,5.95
2009,02,total_percipitation,0.93
2010,02,total_percipitation,6.69
2011,02,total_percipitation,3.47
2012,02,total_percipitation,1.37
2013,02,total_percipitation,4.25
2014,02,total_percipitation,5.48
2015,02,total_percipitation,2.04
2016,02,total_percipitation,4.4
2017,02,total_percipitation,2.48
2018,02,total_percipitation,5.83
2019,02,total_percipitation,3.14
2020,02,total_percipitation,2.54
2021,02,total_percipitation,5.13
2022,02,total_percipitation,3.23
2023,02,total_percipitation,1.28
2024,02,total_percipitation,M
2000,02,total_snow_depth,3
2001,02,total_snow_depth,8
2002,02,total_snow_depth,0
2003,02,total_snow_depth,106
2004,02,total_snow_depth,31
2005,02,total_snow_depth,70
2006,02,total_snow_depth,67
2007,02,total_snow_depth,11
2008,02,total_snow_depth,18
2009,02,total_snow_depth,10
2010,02,total_snow_depth,131
2011,02,total_snow_depth,191
2012,02,total_snow_depth,0
2013,02,total_snow_depth,34
2014,02,total_snow_depth,280
2015,02,total_snow_depth,256
2016,02,total_snow_depth,3
2017,02,total_snow_depth,21
2018,02,total_snow_depth,3
2019,02,total_snow_depth,2
2020,02,total_snow_depth,0
2021,02,total_snow_depth,169
2022,02,total_snow_depth,14
2023,02,total_snow_depth,2
2024,02,total_snow_depth,M
2000,02,total_snowfall,5.2
2001,02,total_snowfall,9.5
2002,02,total_snowfall,T
2003,02,total_snowfall,26.1
2004,02,total_snowfall,0.7
2005,02,total_snowfall,15.8
2006,02,total_snowfall,26.9
2007,02,total_snowfall,3.8
2008,02,total_snowfall,9
2009,02,total_snowfall,4.3
2010,02,total_snowfall,36.9
2011,02,total_snowfall,4.8
2012,02,total_snowfall,0.2
2013,02,total_snowfall,12.2
2014,02,total_snowfall,29
2015,02,total_snowfall,13.6
2016,02,total_snowfall,4
2017,02,total_snowfall,9.4
2018,02,total_snowfall,4.9
2019,02,total_snowfall,2.6
2020,02,total_snowfall,T
2021,02,total_snowfall,26
2022,02,total_snowfall,2
2023,02,total_snowfall,2.2
2024,02,total_snowfall,M
2000,03,average_percipitation,0.11
2001,03,average_percipitation,0.24
2002,03,average_percipitation,0.11
2003,03,average_percipitation,0.15
2004,03,average_percipitation,0.1
2005,03,average_percipitation,0.16
2006,03,average_percipitation,0.03
2007,03,average_percipitation,0.17
2008,03,average_percipitation,0.13
2009,03,average_percipitation,0.06
2010,03,average_percipitation,0.34
2011,03,average_percipitation,0.2
2012,03,average_percipitation,0.03
2013,03,average_percipitation,0.09
2014,03,average_percipitation,0.12
2015,03,average_percipitation,0.15
2016,03,average_percipitation,0.04
2017,03,average_percipitation,0.17
2018,03,average_percipitation,0.17
2019,03,average_percipitation,0.12
2020,03,average_percipitation,0.12
2021,03,average_percipitation,0.11
2022,03,average_percipitation,0.08
2023,03,average_percipitation,0.11
2024,03,average_percipitation,M
2000,03,avg_temp,47.2
2001,03,avg_temp,39.6
2002,03,avg_temp,44.1
2003,03,avg_temp,43.1
2004,03,avg_temp,43.5
2005,03,avg_temp,39.5
2006,03,avg_temp,43.1
2007,03,avg_temp,42.2
2008,03,avg_temp,42.6
2009,03,avg_temp,42.4
2010,03,avg_temp,48.2
2011,03,avg_temp,42.3
2012,03,avg_temp,50.9
2013,03,avg_temp,40.1
2014,03,avg_temp,37.7
2015,03,avg_temp,38.1
2016,03,avg_temp,48.9
2017,03,avg_temp,39.2
2018,03,avg_temp,40.1
2019,03,avg_temp,41.7
2020,03,avg_temp,48.0
2021,03,avg_temp,45.8
2022,03,avg_temp,45.3
2023,03,avg_temp,44.6
2000,03,max_precipitation,1.11
2001,03,max_precipitation,2.16
2002,03,max_precipitation,0.82
2003,03,max_precipitation,1.08
2004,03,max_precipitation,0.68
2005,03,max_precipitation,2.98
2006,03,max_precipitation,0.52
2007,03,max_precipitation,2.41
2008,03,max_precipitation,1.21
2009,03,max_precipitation,0.49
2010,03,max_precipitation,3.86
2011,03,max_precipitation,2.02
2012,03,max_precipitation,0.26
2013,03,max_precipitation,0.79
2014,03,max_precipitation,1.81
2015,03,max_precipitation,0.81
2016,03,max_precipitation,0.38
2017,03,max_precipitation,1.97
2018,03,max_precipitation,1.86
2019,03,max_precipitation,0.75
2020,03,max_precipitation,1.16
2021,03,max_precipitation,1.27
2022,03,max_precipitation,0.93
2023,03,max_precipitation,0.99
2024,03,max_precipitation,M
2000,03,max_snow_depth,0
2001,03,max_snow_depth,3
2002,03,max_snow_depth,0
2003,03,max_snow_depth,4
2004,03,max_snow_depth,4
2005,03,max_snow_depth,9
2006,03,max_snow_depth,1
2007,03,max_snow_depth,5
2008,03,max_snow_depth,0
2009,03,max_snow_depth,8
2010,03,max_snow_depth,11
2011,03,max_snow_depth,1
2012,03,max_snow_depth,0
2013,03,max_snow_depth,2
2014,03,max_snow_depth,6
2015,03,max_snow_depth,19
2016,03,max_snow_depth,T
2017,03,max_snow_depth,6
2018,03,max_snow_depth,8
2019,03,max_snow_depth,4
2020,03,max_snow_depth,0
2021,03,max_snow_depth,0
2022,03,max_snow_depth,T
2023,03,max_snow_depth,1
2024,03,max_snow_depth,M
2000,03,max_snowfall,0.4
