"month","borough","day_type","trip_type","route_id","period","number_of_trips_passing_wait","number_of_scheduled_trips","wait_assessment"
"2020-01","Bronx","1","LCL/LTD","BX36","Peak","11352","18024","0.629826897"
"2020-01","Bronx","2","LCL/LTD","BX36","Off-Peak","7808","10214","0.764440963"
"2020-01","Bronx","2","LCL/LTD","BX36","Peak","3102","4083","0.759735489"
"2020-01","Bronx","1","LCL/LTD","BX38","Off-Peak","5408","6434","0.84053466"
"2020-01","Bronx","1","LCL/LTD","BX38","Peak","2622","3753","0.698641087"
"2020-01","Bronx","2","LCL/LTD","BX38","Off-Peak","1839","2253","0.816245007"
"2020-01","Bronx","2","LCL/LTD","BX38","Peak","725","906","0.800220751"
"2020-01","Bronx","1","LCL/LTD","BX39","Off-Peak","13834","18160","0.761784141"
"2020-01","Bronx","1","LCL/LTD","BX39","Peak","6686","9682","0.690559802"
"2020-01","Bronx","2","LCL/LTD","BX39","Off-Peak","5065","6328","0.800410872"
"2020-01","Bronx","2","LCL/LTD","BX39","Peak","1930","2565","0.752436647"
"2020-01","Bronx","1","LCL/LTD","BX4","Off-Peak","4655","5993","0.776739529"
"2020-01","Bronx","1","LCL/LTD","BX4","Peak","2216","3144","0.704834606"
"2020-01","Bronx","2","LCL/LTD","BX4","Off-Peak","1902","2283","0.833114323"
"2020-01","Bronx","2","LCL/LTD","BX4","Peak","775","892","0.868834081"
"2020-01","Bronx","1","LCL/LTD","BX40","Off-Peak","11405","13297","0.857712266"
"2020-01","Bronx","1","LCL/LTD","BX40","Peak","4106","5540","0.741155235"
"2020-01","Bronx","2","LCL/LTD","BX40","Off-Peak","3657","4097","0.892604345"
"2020-01","Bronx","2","LCL/LTD","BX40","Peak","1154","1382","0.835021708"
"2020-01","Bronx","1","LCL/LTD","BX41","Off-Peak","9866","12573","0.784697367"
"2020-01","Bronx","1","LCL/LTD","BX41","Peak","3056","4587","0.666230652"
"2020-01","Bronx","2","LCL/LTD","BX41","Off-Peak","4079","4794","0.850855236"
"2020-01","Bronx","2","LCL/LTD","BX41","Peak","1522","1804","0.84368071"
"2020-01","Bronx","1","LCL/LTD","BX42","Off-Peak","12059","14402","0.837314262"
"2020-01","Bronx","1","LCL/LTD","BX42","Peak","4655","6134","0.758884904"
"2020-01","Bronx","2","LCL/LTD","BX42","Off-Peak","3157","3786","0.833861595"
"2020-01","Bronx","2","LCL/LTD","BX42","Peak","1223","1468","0.833106267"
"2020-01","Bronx","1","LCL/LTD","BX46","Off-Peak","957","985","0.971573604"
"2020-01","Bronx","1","LCL/LTD","BX46","Peak","345","379","0.910290237"
"2020-01","Bronx","2","LCL/LTD","BX46","Off-Peak","331","343","0.965014577"
"2020-01","Bronx","2","LCL/LTD","BX46","Peak","86","92","0.934782609"
"2020-01","Bronx","1","LCL/LTD","BX4A","Off-Peak","4076","5265","0.774169041"
"2020-01","Bronx","1","LCL/LTD","BX4A","Peak","2182","3113","0.700931577"
"2020-01","Bronx","2","LCL/LTD","BX4A","Off-Peak","1478","1757","0.841206602"
"2020-01","Bronx","2","LCL/LTD","BX4A","Peak","660","763","0.865006553"
"2020-01","Bronx","1","LCL/LTD","BX5","Off-Peak","10801","12873","0.839042958"
"2020-01","Bronx","1","LCL/LTD","BX5","Peak","5355","7387","0.724922161"
"2020-01","Bronx","2","LCL/LTD","BX5","Off-Peak","4859","5714","0.850367518"
"2020-01","Bronx","2","LCL/LTD","BX5","Peak","1824","2258","0.807794508"
"2020-01","Bronx","1","LCL/LTD","BX6","Off-Peak","13098","15610","0.839077514"
"2020-01","Bronx","1","LCL/LTD","BX6","Peak","4849","6642","0.730051189"
"2020-01","Bronx","2","LCL/LTD","BX6","Off-Peak","4544","5288","0.859304085"
"2020-01","Bronx","2","LCL/LTD","BX6","Peak","1624","1915","0.848041775"
"2020-01","Bronx","1","LCL/LTD","BX7","Off-Peak","14822","17525","0.845763195"
"2020-01","Bronx","1","LCL/LTD","BX7","Peak","6968","9063","0.76884034"
"2020-01","Bronx","2","LCL/LTD","BX7","Off-Peak","4881","6306","0.774024738"
"2020-01","Bronx","2","LCL/LTD","BX7","Peak","2059","2599","0.79222778"
"2020-01","Bronx","1","LCL/LTD","BX8","Off-Peak","14114","16271","0.867432856"
"2020-01","Bronx","1","LCL/LTD","BX8","Peak","7770","10013","0.775991211"
"2020-01","Bronx","2","LCL/LTD","BX8","Off-Peak","2594","2968","0.873989218"
"2020-01","Bronx","2","LCL/LTD","BX8","Peak","1161","1352","0.858727811"
"2020-01","Bronx","1","LCL/LTD","BX9","Off-Peak","16976","19649","0.863962543"
"2020-01","Bronx","1","LCL/LTD","BX9","Peak","7842","10626","0.738001129"
"2020-01","Bronx","2","LCL/LTD","BX9","Off-Peak","5610","6562","0.85492228"
"2020-01","Bronx","2","LCL/LTD","BX9","Peak","2278","2706","0.841832964"
"2020-01","Bronx","1","EXP","BXM1","Off-Peak","2792","2996","0.931909212"
"2020-01","Bronx","1","EXP","BXM1","Peak","1695","2041","0.830475257"
"2020-01","Bronx","2","EXP","BXM1","Off-Peak","643","673","0.955423477"
"2020-01","Bronx","2","EXP","BXM1","Peak","265","285","0.929824561"
"2020-01","Bronx","1","EXP","BXM10","Off-Peak","2256","2400","0.94"
"2020-01","Bronx","1","EXP","BXM10","Peak","1394","1853","0.752293578"
"2020-01","Bronx","2","EXP","BXM10","Off-Peak","560","588","0.952380952"
"2020-01","Bronx","2","EXP","BXM10","Peak","212","224","0.946428571"
"2020-01","Bronx","1","EXP","BXM11","Off-Peak","1691","1911","0.884877028"
"2020-01","Bronx","1","EXP","BXM11","Peak","971","1305","0.744061303"
"2020-01","Bronx","2","EXP","BXM11","Off-Peak","438","476","0.920168067"
"2020-01","Bronx","2","EXP","BXM11","Peak","167","178","0.938202247"
"2020-01","Bronx","1","EXP","BXM18","Off-Peak","129","147","0.87755102"
"2020-01","Bronx","1","EXP","BXM18","Peak","526","594","0.885521886"
"2020-01","Bronx","1","EXP","BXM2","Off-Peak","2232","2476","0.901453958"
"2020-01","Bronx","1","EXP","BXM2","Peak","885","1154","0.766897747"
"2020-01","Bronx","2","EXP","BXM2","Off-Peak","532","569","0.934973638"
"2020-01","Bronx","2","EXP","BXM2","Peak","200","219","0.913242009"
