boro,street,yr,m,sum_vol,count_requestid
Queens,81 STREET,2018,5,5871,381
Queens,HOOK CREEK BLVD,2013,3,152438,1674
Brooklyn,VANDALIA AVENUE,2015,3,30059,1344
Bronx,EAST 177 STREET,2014,9,173306,1728
Manhattan,AMSTERDAM BTWN W 78TH & W 77TH STS,2011,4,48113,153
Manhattan,WEST END AVENUE,2019,10,372896,4337
Brooklyn,LIVINGSTON STREET,2016,9,519001,8160
Brooklyn,BELT PARKWAY EB EN ERSKINE ST,2016,10,47820,672
Bronx,E/B E TREMONT AVE @ OVERING ST,2009,11,66764,766
Bronx,TIFFANY ST APPROACH TO SOUTHERN BLVD,2011,4,19009,714
Brooklyn,S/B FLATBUSH AVE @ RUTLAND RD,2011,1,82419,1653
Manhattan,F D R DRIVE,2019,11,555832,768
Bronx,EAST MT EDEN AVENUE,2016,9,57029,1344
Brooklyn,CATON AVENUE,2019,10,86083,1728
Brooklyn,S/B HAMILTON AVE BRIDGE @ 13 ST,2010,4,257786,1354
Manhattan,UNIVERSITY PL,2012,10,53777,959
Queens,W/B 35 AVE @ 65 ST,2009,11,2366,59
Bronx,BROOK AVENUE,2014,9,36201,864
Brooklyn,CONEY ISL AVE & AVE U BET AVE V & AVE U,2010,9,142155,1007
Brooklyn,8 AVENUE,2019,10,257744,1728
Queens,217 STREET,2015,10,7383,662
Manhattan,W 126 ST,2013,6,216538,3367
Queens,HILLSIDE AVENUE,2017,5,396621,2988
Brooklyn,20 AVENUE,2016,4,925,41
Brooklyn,IRVING AVENUE,2015,6,183360,2970
Manhattan,WEST END AV,2013,12,145371,3082
Brooklyn,S/B 7 AVE @ 60 ST,2009,10,9442,228
Bronx,RANDALL AVENUE,2020,10,114644,1728
Brooklyn,S/B SOUTH ELIOT PLACE @ FULTON ST,2011,2,8853,1139
Brooklyn,N/B BROADWAY @ JEFFERSON AVE,2010,2,26559,386
Brooklyn,25TH ST APPROACHING 4TH AVE,2010,6,15528,1056
Brooklyn,E/B 60 ST( E/LEG) @ 5TH AVE,2009,6,55475,1095
Brooklyn,N/B 11 AVE @ 66 ST,2010,4,10828,671
Bronx,PROSPECT AVENUE,2019,1,70771,2496
Brooklyn,4TH AVE APPROACHING 92ND ST,2010,7,25938,375
Bronx,FAIRMOUNT PL,2013,1,602,48
Bronx,SHERIDAN EXPRESSWAY,2017,11,426049,1728
Manhattan,CLINTON STREET,2014,10,29604,672
Queens,FRESH MEADOW LANE,2012,2,12247,734
Manhattan,S/B 5 AVE (S LEG) @ W 135 ST,2009,10,54152,418
Manhattan,FDR DR VI,2014,8,200017,1375
Brooklyn,CONEY ISL AVE & AVE J NB APPR BET AVE K & AVE J,2010,10,99649,832
Brooklyn,FT HAMILTON PARKWAY,2015,11,148876,1728
Queens,138 STREET,2016,10,11627,743
Brooklyn,KINGSLAND AVENUE,2015,10,47731,864
Manhattan,145 STREET BRIDGE,2018,9,568748,3855
Brooklyn,JACKIE ROBINSON PARKWAY EXIT WB,2015,11,101110,864
Brooklyn,N/B CLASSON AVE @ CLIFTON PLACE,2009,1,21041,290
Brooklyn,ELM PLACE,2016,9,10268,480
Brooklyn,BQE WESTBOUND EXIT 32 A,2012,6,224882,664
Queens,ELMHURST AVENUE,2014,10,17051,864
Brooklyn,MYRTLE AVENUE,2016,11,23973,550
Brooklyn,GRAND AVENUE,2015,10,21086,672
Queens,VAN WYCK EXPRESSWAY,2014,11,1876531,3456
Queens,FRANCIS LEWIS BOULEVARD,2020,11,234850,3456
Queens,FRANCIS LEWIS BOULEVARD,2017,10,125553,1728
Bronx,BAYCHESTER AVENUE,2017,9,36776,1536
Bronx,LOUIS NINE BOULEVARD,2019,1,88041,2304
Staten Island,VAN PELT AVENUE,2014,5,7200,1154
Brooklyn,KINGS HIGHWAY,2019,2,80551,1728
Bronx,EAST 144 STREET,2017,10,77479,1728
Bronx,W/B NEIL AVE @ HONE AVE,2010,11,4637,156
Bronx,E 165 ST,2016,3,147150,2304
Manhattan,PARK AVE ELEVATED RD APPROACH TO 42ND ST,2011,4,620828,3087
Queens,CENTER BOULEVARD,2019,2,37778,1872
Brooklyn,FRANKLIN AVENUE,2017,8,18926,1342
Queens,233 STREET,2014,10,6234,232
Queens,FARMERS BLVRD BTWN 102ND AVE & 103RD AVE,2011,4,17390,293
Queens,155 ST,2014,6,6468,1583
Queens,E/B NORTHERN BLVD @ HONEYWELL ST,2011,3,111160,721
Queens,90 STREET,2017,6,19329,672
Queens,ROOSEVELT AV,2014,7,439574,4346
Brooklyn,Shore Pkwy,2012,1,7363,447
Queens,27 STREET,2016,3,13429,576
Bronx,E 233RD ST BET MERRITT & DYRE AVES,2010,9,78218,1154
Brooklyn,JJ BYRNE MEMORIAL BRIDGE,2017,10,337738,1536
Brooklyn,SHORE PARKWAY,2016,10,193379,1701
Bronx,GRAND CONCOURSE,2017,10,240646,1728
Brooklyn,SEAVIEW AV,2013,12,81435,1578
Queens,WOODHAVEN BLVD,2013,6,378345,1410
Brooklyn,UNION ST,2013,10,28057,628
Staten Island,LITTLE CLOVE RD,2012,10,88652,1526
Queens,W/B 35 AVE @ 147 ST,2010,11,4163,159
Manhattan,WEST 170 STREET,2014,11,20815,1536
Bronx,WESTCHESTER AV,2015,3,151070,2688
Brooklyn,CORBIN PLACE,2015,9,19718,770
Brooklyn,JEFFERSON AVENUE,2016,8,19924,768
Queens,FOWLER AV,2014,5,3747,58
Bronx,EAST 161 STREET,2012,2,10845,620
Brooklyn,E/B NASSAU AVE @ HUMBOLDT ST,2010,8,3421,136
Queens,W/B FRANCIS LEWIS BLVD @ LAURELTON PKWY,2010,9,43707,973
Brooklyn,GRAND ST BR,2008,4,66154,1341
Queens,ROCKAWAY BLVD,2012,6,66215,828
Bronx,UNION AVENUE,2016,2,13521,672
Manhattan,ST NICHOLAS AV,2013,6,377441,4864
Brooklyn,HENDRIX STREET,2016,9,9148,381
Brooklyn,TOMPKINS AVENUE,2019,10,290828,1728
Queens,LINDEN BOULEVARD,2020,8,206726,1920
Queens,77 STREET,2017,3,14341,761
Queens,E/B CYPRESS AVE @ HIMROD ST,2010,8,6674,152
Bronx,BRONX RIVER PARKWAY,2019,3,187725,384
Queens,134 STREET,2018,4,5813,381
Queens,WOODHAVEN BLVD,2013,10,503117,2122
Brooklyn,GRAHAM AVENUE,2018,11,90986,2300
Bronx,E 165TH ST BET SHERIDAN AVE & E 164TH/CARROLL PL,2011,3,25021,574
Bronx,EAST 144 STREET,2012,1,13514,263
Brooklyn,EAST LAKE DRIVE,2017,10,218,337
Brooklyn,W/B AVE N @ E 54 ST,2010,8,66906,1824
Staten Island,S/B BLOOMINGDALE RD@LUCLLE AV/VTRNS RD E,2010,5,56326,663
Manhattan,WEST 167 STREET,2014,9,9064,864
Bronx,MORRIS AVENUE,2016,9,73050,1344
Manhattan,WILLIS AVENUE BRIDGE,2020,10,719464,1248
Brooklyn,AVENUE K,2016,5,6189,143
Manhattan,WEST END AV,2014,7,735047,11877
Manhattan,4 AVENUE,2014,10,162273,864
Manhattan,CENTRAL PARK N,2013,10,110825,1850
Bronx,FREEMAN ST BET VYSE AND BRYANT AVE,2011,2,17746,858
Brooklyn,ATLANTIC AV,2014,6,1026381,5184
Staten Island,AMBOY ROAD,2016,2,38073,478
Brooklyn,S/B WASHINGTON AVE @ PACIFIC ST,2011,3,23016,323
Brooklyn,S/B E 33 ST @ AVE P,2010,6,11625,1045
Staten Island,BAY STREET,2019,2,47986,576
Bronx,WHITE PLAINS RD@E 243 ST (CITY LINE),2010,4,54149,813
Brooklyn,S/B WYTHE AVE @ S 8 ST,2010,3,26230,405
Bronx,CONCOURSE VILLAGE WEST,2016,6,24754,672
Staten Island,MARTLING AVENUE,2019,10,262405,2305
Bronx,HENRY HUDSON PKWY W,2012,10,234153,1350
Manhattan,N/B 1ST AVE (LEFT) @ E 14 ST,2010,11,7997,731
Staten Island,GARY ST,2013,10,5096,2486
Queens,BROADWAY,2012,6,418275,3836
Manhattan,BLEECKER STREET,2015,10,23096,483
Manhattan,3 AVENUE,2018,6,1152121,5376
Queens,N/B 96 ST @ ROCKAWAY BLVD,2009,9,32991,1356
Queens,JUNCTION BOULEVARD,2016,12,55758,795
Queens,55 AVENUE,2016,9,33351,774
Queens,147 AVENUE,2018,5,45395,752
Queens,CENTRAL AVENUE,2021,5,126393,1728
Staten Island,MIDLAND AVE BET GRANT PL & HYLAN BLVD,2011,6,7518,80
Manhattan,W 97 ST,2014,8,52372,1381
Manhattan,W 72 ST,2014,8,90348,2068
Queens,N/B 114 ST @ 42 AVE,2010,4,25846,771
Brooklyn,BAY PARKWAY NB APPROACH TO 75TH ST,2009,12,62332,796
Brooklyn,NEVINS STREET,2018,3,29077,1491
Queens,77 RD,2013,6,7680,386
Manhattan,EAST 14 STREET,2017,10,87820,768
Bronx,GRAND CONCOURSE,2016,5,370631,4032
Brooklyn,20 STREET,2016,9,42570,3163
Queens,N/B ASCAN AVE@STANDISH PL/SEASONGOOD RD,2010,4,15669,593
Queens,N CHANNEL BR,2013,5,468013,3449
Brooklyn,OCEAN PARKWAY,2016,10,229854,1608
Staten Island,OLD TOWN ROAD,2014,10,37680,763
Brooklyn,FLATBUSH AV,2013,2,202130,1346
Manhattan,S/B LEXINGTON AVE @ E 60 ST,2010,10,234588,1059
Bronx,BRUCKNER BLVD,2013,10,550938,4822
Brooklyn,16 AV,2013,12,138810,4302
Queens,W/B 32 AVE @ 203 ST,2009,6,13186,304
Manhattan,ADAM C POWELL BOULEVARD,2017,10,308707,3456
Brooklyn,DWIGHT STREET,2018,10,7653,672
Brooklyn,LINDEN BOULEVARD,2015,3,13324,60
Manhattan,2 AVENUE,2017,5,974251,2496
Manhattan,PARK AV S,2012,9,55971,342
Brooklyn,RAMP,2012,6,357229,2922
Brooklyn,LINDEN BOULEVARD,2020,9,81147,768
Manhattan,Adam Clayton Powell Blvd NB,2012,3,456996,3804
Manhattan,WEST 135TH ST WB APPROACH TO ADAM CLT POWELL BLVD,2009,11,58025,750
Brooklyn,4TH AVE RIGHT LANE BET 55TH & 56TH STS,2011,11,7648,688
Queens,SKILLMAN AV,2013,1,17038,374
Manhattan,E/B ALEXANDER HAMILTON BR N/S 2 LANES,2010,11,120591,233
Bronx,BROADWAY BET W 252ND ST & LAKEVIEW PL,2011,3,136201,1775
Queens,LIBERTY AVENUE,2019,1,258513,2395
Bronx,EAST 187 STREET,2016,5,64849,4224
Queens,MERRICK BLVD,2012,10,453319,3709
Manhattan,W 48 ST,2014,6,70190,744
Manhattan,WEST 64 STREET,2016,3,31146,1344
Brooklyn,FLATBUSH AV,2012,10,1727014,11962
Bronx,EAST 174 STREET,2013,4,26378,462
Staten Island,Richmond Terr SB Between,2009,12,64292,859
Manhattan,W/B E 14 ST (SERVICE) @ 1ST AVE,2010,12,7514,878
Manhattan,ALEXANDER HAMILTON BRIDGE,2015,11,2390043,4046
Bronx,COURTLANDT AVENUE,2012,1,4443,139
Brooklyn,EAST DRIVE,2017,10,5517,825
Queens,S/B YELLOWSTONE BLVD @ GROTON ST,2009,7,90111,1869
Manhattan,GRAND STREET,2017,3,23001,226
Brooklyn,DEAN ST,2012,6,135187,3320
Queens,164 STREET,2015,10,56540,1248
Brooklyn,S/B FLATBUSH AVE (S LEG) @ RUTLAND RD,2011,1,76570,1653
Queens,ROCKAWAY BOULEVARD,2014,9,519497,2304
Manhattan,FT WASHINGTON AVENUE,2015,9,75009,1728
Brooklyn,CONEY ISLAND AV,2014,6,1117584,8064
Brooklyn,AVENUE V,2017,1,134631,7645
Bronx,W/B E TREMONT AVE @ ROBERTS AVE,2010,12,36898,942
Queens,ROOSEVELT AVENUE,2019,1,457764,6048
Brooklyn,THROOP AVENUE,2019,11,162585,2592
Brooklyn,VERMONT AV,2013,1,17776,239
Brooklyn,COURT ST,2011,9,10368,124
Queens,SEAGIRT BLVD,2014,4,255830,2804
Queens,GUY R BREWER BOULEVARD,2016,3,39070,1344
Brooklyn,FOUNTAIN AV,2012,6,9327,377
Queens,23 AVENUE,2012,2,48020,560
Brooklyn,WEST 10 STREET,2017,10,1125,96
Queens,HOMELAWN STREET,2017,2,41123,1391
Brooklyn,CROWN STREET,2014,11,6419,288
Brooklyn,E/B NASSAU AVE @ MONITOR ST,2010,8,3278,137
Brooklyn,ROCKAWAY AVENUE,2015,6,71397,960
Queens,ROOSEVELT AV,2016,1,436374,5664
Brooklyn,OCEAN PARKWAY,2016,6,4548191,16128
Manhattan,S/B MORNINGSIDE AVE @ W 117 ST,2009,11,10962,784
Brooklyn,TWIN PINES DRIVE,2018,11,33442,1344
Queens,NORTH CHANNEL BRIDGE,2015,5,399832,3226
Bronx,STORY AV,2011,7,33121,712
Brooklyn,WILLIAMSBURG BR EXIT S 5 ST,2012,6,86069,1328
Bronx,E 180TH ST WB APPROACH TO WEBSTER AVE,2011,2,31568,735
Queens,S/B STEINWAY ST( S/LEG) @ 34 AVE,2009,6,73117,1097
Queens,ROOSEVELT AVENUE BRIDGE,2015,5,4760,80
Manhattan,1 AVENUE,2014,10,3484992,17768
Queens,N/B 28 ST @ 24 AVE,2010,12,6080,374
Queens,S/B B 102 ST @ ROCKAWAY BEACH BLVD,2009,2,8548,381
Queens,BROADWAY,2013,6,69426,777
Brooklyn,AVENUE B,2017,3,21142,456
Manhattan,WEST 155 STREET,2017,10,175621,1376
Brooklyn,15 STREET,2017,6,10998,672
Brooklyn,KINGS HWY MAIN RD NB APPROACH TO LINDEN BLVD,2011,5,81339,684
Bronx,CROTONA AVENUE,2015,4,81122,1344
Manhattan,EAST 23 STREET,2014,10,207326,1435
Queens,COMMONWEALTH BLVD,2011,11,33659,1231
Brooklyn,ADAMS STREET,2016,11,135094,908
Queens,192 STREET,2017,9,11565,760
Brooklyn,MC DONALD AVENUE,2014,12,188054,2834
Manhattan,MADISON AV BR,2012,9,1240948,5948
Queens,GRAND STREET BRIDGE,2020,8,97298,1920
Brooklyn,ATLANTIC AVENUE,2015,3,535874,3130
Manhattan,CLINTON ST,2014,6,100549,861
Brooklyn,AVENUE T,2019,3,19405,755
Manhattan,MACOMBS DAM BRIDGE,2020,11,31598,192
Queens,ROCKAWAY BOULEVARD,2012,1,247108,1252
Queens,WHITESTONE EXPWY SB EN ULMER ST,2015,5,79970,448
Brooklyn,GREENE AV,2014,3,19267,1346
Bronx,E Gunhill Rd EB Between,2010,9,396890,2866
Manhattan,RIVERSIDE DRIVE,2015,2,96102,2143
Brooklyn,PRINCE STREET,2016,9,34830,1371
Queens,E/B 107 AVE @ 108 ST,2010,6,15899,657
Bronx,QUIMBY AV,2013,1,3786,955
Brooklyn,W/B DRIGGS AVE @ MONITOR ST,2010,8,4381,234
Brooklyn,CARROLL STREET,2017,6,19664,672
Brooklyn,ROCKAWAY AVENUE,2015,10,68140,1728
Staten Island,RICHMOND AVENUE,2016,2,42727,192
Staten Island,MARTLING AVENUE,2019,9,121694,1152
Queens,ASTORIA BOULEVARD NORTH,2014,10,411666,2152
Queens,44 AV,2014,5,3228,292
Queens,W/B 109 AVE @ 114 ST,2010,1,11678,377
Bronx,EAST KINGSBRIDGE ROAD,2012,2,35099,707
Staten Island,TARGEE STREET,2016,2,84395,672
Brooklyn,23 AVENUE,2014,12,686,45
Brooklyn,90 STREET,2017,2,3393,158
Bronx,METCALF AVE BET BRP RAMP AND WATSON AVE (NB),2011,4,138924,870
Manhattan,PECK SLIP,2009,11,124528,1244
Brooklyn,W/B PARKSIDE AVENUE @ PARK CIRCLE,2008,6,27215,280
Manhattan,E/B E 14 ST @ UNION SQ. E/ BROADWAY,2009,10,86877,761
Queens,MERRICK BOULEVARD,2017,5,324249,2994
Queens,S/B 11 ST @ 44 AVE,2009,7,12281,380
Manhattan,BROADWAY BRIDGE,2016,9,604015,3277
Bronx,CONNECTOR,2019,6,4269,768
Bronx,PELHAM PARKWAY NORTH,2016,11,3821,288
Staten Island,LAUREL AVENUE,2017,9,37019,385
Manhattan,PARK AVENUE,2018,11,6852,74
Staten Island,RICHMOND ROAD,2020,1,714465,5376
Manhattan,FDR DR ENTRY RP,2014,7,29030,1657
Staten Island,LEVERETT AV,2012,12,22976,754
Staten Island,MILFORD DRIVE,2014,10,38076,960
Manhattan,E 79TH ST BET 1ST AVE & YORK AVE,2010,3,340360,5018
Manhattan,EAST 48 STREET,2014,9,9583,253
Brooklyn,MEEKER AVENUE,2015,10,39916,864
Bronx,BOSTON ROAD,2014,10,156553,1344
Manhattan,LEXINGTON AVENUE,2017,11,36829,288
Brooklyn,AVENUE O,2015,11,26931,672
Manhattan,WEST 86 STREET,2018,10,38578,1344
Brooklyn,UNION AVENUE,2019,6,143205,1728
Brooklyn,BUSHWICK AVENUE,2017,11,412482,1728
Brooklyn,EAST 19 STREET,2017,12,3399,672
Brooklyn,CONEY ISLAND AV,2012,4,279216,1868
Queens,N/B READS LANE @ EMPIRE AVE,2010,3,6547,410
Queens,W/B 62 DR @ 97 ST,2010,1,7417,1055
Manhattan,N/B 4 AVE (N LEG) @ E 14 ST,2009,10,131200,769
Queens,DECATUR STREET,2017,5,39927,1344
Queens,WHITESTONE EXPRESSWAY SR EAST,2015,4,4937,384
Queens,GRAND CENTRAL PARKWAY,2019,4,408091,576
Queens,CROSS ISLAND PKWY ET 25 A SB,2020,8,260099,672
Bronx,PARK AVENUE,2015,8,8420,130
Staten Island,BELFIELD AV,2011,10,10521,383
Bronx,E167TH ST WB APPR BET VYSE AVE & HOE AVE,2011,6,2071,143
Manhattan,C P 7 AVENUE APPROACH,2015,8,10660,1371
Manhattan,JOE DIMAGGIO HIGHWAY,2013,10,1596393,2846
Manhattan,W/B E 23RD ST @ BROADWAY,2009,1,52582,554
Brooklyn,AVENUE N,2016,10,83412,1238
Manhattan,LEXINGTON AVENUE,2017,10,667638,3276
Bronx,W/B LAFAYETTE AVE @ TIFFANY ST,2009,10,13491,363
Brooklyn,W 6TH ST SB APPROACH TO 86TH ST,2011,2,41404,1760
Staten Island,OLYMPIA BOULEVARD,2016,11,6545,672
Brooklyn,11 AVENUE,2017,3,15373,455
Staten Island,LITTLE CLOVE ROAD,2012,1,37520,1158
Manhattan,E/B 145TH ST BR @ E 149 ST,2009,9,101760,908
Brooklyn,SHORE BOULEVARD,2018,11,110783,1920
Bronx,W/B RESERVOIR AVE @ SEDGWICK AVE,2010,11,6644,848
Manhattan,WEST END AV,2014,8,1586642,27583
Queens,INWOOD ST,2013,8,10389,757
Queens,LINDEN BOULEVARD,2012,2,143983,2814
Staten Island,TARGEE STREET,2019,9,126703,864
Manhattan,QUEENS MIDTOWN TUNNEL APPROACH,2018,11,44578,864
Manhattan,VARICK STREET,2017,6,593277,4032
Manhattan,CPW 72 APPR,2013,10,10201,2411
Manhattan,S/B ALLEN ST @ CANAL ST,2010,3,89875,956
Queens,STEINWAY STREET,2020,11,78752,1728
Brooklyn,CROPSEY AVENUE,2016,6,64066,777
Brooklyn,E 83RD ST APPROACH TO CANARSIE LN,2011,10,37294,717
Manhattan,MULBERRY ST,2014,4,15219,672
Queens,WOODSIDE AVENUE,2017,6,43751,1344
Brooklyn,ST JOHNS PLACE,2019,3,44713,1920
Brooklyn,38 STREET,2016,9,130812,1357
Queens,S/B STEINWAY ST @ 30 AVE,2009,6,106585,1102
Brooklyn,CARROLL STREET,2014,10,22061,716
Staten Island,DIERAUF ST,2013,10,2159,2381
Manhattan,GRAND STREET,2013,6,68729,672
Staten Island,NOME AV,2013,3,24225,768
Brooklyn,W/B JAMAICA AVE @ LOGAN ST,2010,6,26865,571
Brooklyn,BELT PARKWAY EXIT 11 NORTH EB,2016,10,89873,866
Queens,LINDEN BLVRD BTWN MEXICO ST & FARMERS BLVRD,2011,5,80557,1083
Staten Island,RICHMOND TER,2014,1,206931,5141
Bronx,FRISBY AVENUE,2016,9,5185,576
Queens,21 STREET,2019,1,325229,2112
Bronx,METROPOLITAN AV,2012,10,68716,1471
Queens,LINDEN BLVD SER RDWY,2011,4,47270,1127
Brooklyn,49 ST,2012,10,49146,1577
Staten Island,RIDGEWOOD AVENUE,2019,3,25674,783
Bronx,E167TH ST WB APPR BET VYSE AVE & HOE AVE,2011,5,13248,812
Brooklyn,60 STREET,2016,10,81495,1728
Brooklyn,W/B DRIGGS AVE @ MANHATTAN AVE,2010,7,60974,1220
Queens,73 AVENUE,2016,5,75523,1344
Manhattan,SUFFOLK ST,2013,6,4969,672
Manhattan,WILLIAMSBURG BRIDGE,2018,10,1531471,5376
Queens,14 STREET,2017,2,10039,288
Brooklyn,EAST DRIVE,2015,7,3332,444
Bronx,VYSE AVE BET FREEMAN & JENNING STS,2010,12,21309,834
Queens,93 AVENUE,2015,11,13790,431
Brooklyn,N/B BAY 29 ST @ BENSON AVE,2010,10,4878,378
Brooklyn,BROADWAY,2017,10,765610,10752
Brooklyn,AVENUE S,2018,2,49949,768
Staten Island,HYLAN BOULEVARD,2012,1,169663,898
Queens,W/B 62 DR @  YELLOWSTONE BLVD,2010,1,88235,1057
Manhattan,S/B 2ND AVE (LEFT) @ E 23 ST,2010,12,31466,892
Brooklyn,MILL BASIN BR,2012,6,2004049,3344
Brooklyn,FORBELL STREET,2017,8,9122,351
Manhattan,DYCKMAN ST,2013,2,99950,1421
Queens,KOSCIUSZKO BRIDGE,2015,6,411530,514
Brooklyn,HARMAN STREET,2013,11,7992,445
Queens,168TH ST APPROACHING JAMAICA AVE,2012,1,69312,759
Queens,QUEENS BOULEVARD,2018,4,1983106,14267
Queens,56 RD,2012,10,90491,1818
Queens,ROCKAWAY BLVD,2014,4,888216,2820
Bronx,E MT EDEN AVE APPROACH TO GRAND CONCOURSE,2011,5,56882,1054
Brooklyn,E 24 ST,2013,5,3566,369
Bronx,EAST TREMONT AVENUE,2019,4,123906,1920
Queens,73 STREET,2015,11,602,864
Staten Island,LOUIS ST,2013,3,19432,754
Manhattan,WEST 133 STREET,2016,11,62818,2688
Queens,69 ST,2012,5,2739,261
Manhattan,JOE DIMAGGIO HIGHWAY,2014,6,1389238,2272
Queens,HOLLIS AVE BTWN JAMAICA AVE & 190TH ST,2011,5,37469,545
Bronx,HENRY HUDSON PKWY W,2013,1,90038,285
Queens,S/B RUST ST (N LEG) @ 57 PL / 57 RD,2010,7,6955,125
Manhattan,LEXINGTON AVE APPROACH TO E 40TH ST,2011,4,228248,904
Bronx,MAJOR DEEGAN EXPRESSWAY,2016,11,753470,1152
Bronx,EAST 158 STREET,2016,5,34344,1726
Manhattan,E/B SPRING ST @ VARICK ST,2010,10,47246,654
Bronx,LAFAYETTE AVENUE,2016,6,95814,2688
Bronx,STORY AVENUE,2018,10,39103,768
Queens,MAURICE AVENUE,2017,10,71994,768
Brooklyn,OCEAN VIEW AVENUE,2015,4,24914,672
Manhattan,CENTRAL PARK WEST,2014,11,6,222
Brooklyn,E 58 ST,2013,5,5167,289
Manhattan,EAST 34 STREET,2017,1,190992,1920
Brooklyn,BAY PARKWAY,2019,6,434178,3042
Bronx,W/B E GUN HILL RD @ WAYNE AVE,2009,5,82340,765
Queens,JAMAICA AVE BTWN MERRICK BLVRD & 168TH ST,2011,5,47857,547
Manhattan,CONNECTOR,2014,9,22555,253
Queens,NORTHERN BOULEVARD,2019,1,370275,2304
Queens,SUNRISE HIGHWAY,2017,5,512750,1512
Bronx,PARK AVENUE,2019,2,182658,3840
Queens,SENECA AVENUE,2015,9,76465,2304
Brooklyn,HANCOCK STREET,2017,8,21521,672
Manhattan,CPW 72 APPROACH,2015,5,25814,2688
Manhattan,5 AVENUE,2020,11,13278,96
Brooklyn,DEKALB AVENUE,2018,5,88044,3299
Brooklyn,ST JOHNS PLACE,2014,11,26863,576
Brooklyn,UNION ST BRIDGE,2019,3,53050,1440
Manhattan,ST JAMES PLACE,2017,9,83746,1152
Bronx,EAST 183 STREET,2017,4,5760,380
Bronx,WESTCHESTER AVENUE BRIDGE,2016,4,247736,1894
Queens,30 AVENUE,2016,4,22517,750
Brooklyn,GOE EB EXIT 16,2014,7,624150,780
Queens,NORTH CHANNEL BRIDGE,2018,6,421473,2942
Bronx,CALHOUN AVENUE,2012,1,3352,346
Brooklyn,NEW LOTS AV,2013,9,34036,897
Bronx,MORRIS PARK AV,2014,6,69783,759
Bronx,BRONX PARK EAST,2018,4,75752,1344
Queens,169TH ST APPROACHING HIGHLAND AVE,2012,1,16261,747
Queens,JAMAICA AVE BET MERRICK BLVRD & 168TH ST,2011,4,13616,140
Staten Island,WOOLLEY AVENUE,2012,1,90003,1035
Queens,79 STREET,2018,11,17014,672
Queens,COOPER AVENUE,2018,6,48374,1735
Brooklyn,N/B 15 AVE @ 80 ST,2009,12,5466,679
Brooklyn,OCEAN PARKWAY,2017,8,70642,2967
Brooklyn,Shore Pkwy South,2012,1,45853,474
Brooklyn,BLAKE AV,2013,3,3965,386
Staten Island,N/B WOOLLEY AVE @ PURDY AVE,2010,5,18859,385
Bronx,UNION PORT BRIDGE,2017,4,975719,3092
Queens,N/B 188 ST (S LEG) @ 64 AVE,2010,10,1149,34
Brooklyn,S/B 12 AVE @ 70 ST,2009,6,21893,958
Staten Island,GREELEY AVENUE,2014,11,47704,768
Manhattan,W 52 ST,2011,8,60467,717
Bronx,EAST 233 STREET,2016,6,50653,192
Brooklyn,EAST 79 STREET,2016,10,6277,384
Bronx,WEST 230 STREET,2019,2,146090,1152
Queens,ASTORIA BOULEVARD SOUTH,2014,11,760702,4808
Staten Island,TANGLEWOOD DRIVE,2015,11,11732,672
Manhattan,ED KOCH QUEENSBORO BRIDGE,2016,10,3199037,9597
Brooklyn,MYRTLE AVENUE,2017,11,185901,3456
Queens,SHORE FRONT PARKWAY,2016,8,274338,6720
Queens,SUTTER AVENUE,2017,12,14962,762
Manhattan,GRAND STREET,2015,6,157763,1920
Queens,PECK AV,2014,6,32084,901
Bronx,PELHAM PKWY,2013,11,112935,443
Brooklyn,LINDEN BLVD EB APPROACH TO KINGS HWY SR,2011,5,70266,686
Brooklyn,GREENPOINT AVE BET MOULTRIE & HUMBOLDT STS,2011,3,118430,1336
Bronx,N/B CASTLE HILL AVE @ QUIMBY AVE,2010,1,28296,394
Manhattan,AMSTERDAM AV,2013,5,258642,1122
Manhattan,RIVERSIDE DR MAIN RD APPROACH TO W 97TH ST,2011,3,14461,581
Bronx,NEILL AVENUE,2017,6,33409,1344
Brooklyn,AV Z,2012,9,67221,1251
Queens,SPRINGFIELD BOULEVARD,2019,9,104810,3456
Brooklyn,S/B 13 AVE @ 71 ST,2010,1,21943,571
Brooklyn,PROSPECT PARK SOUTHWEST,2019,9,135037,1344
Manhattan,CEDAR STREET,2018,11,2132,384
Queens,SUTTER AV,2012,3,18283,321
Staten Island,ARTHUR KILL RD,2013,6,389081,3369
Queens,PARSONS BOULEVARD,2017,3,27365,777
Manhattan,65 ST TRANSVERSE,2018,10,202978,1344
Bronx,EAST 167 STREET,2019,10,123874,2592
Queens,SHORE BOULEVARD,2015,8,685,46
Bronx,EASTCHESTER BR,2013,3,328733,2988
Brooklyn,BEDFORD AVENUE,2014,12,25033,385
Queens,QUEENS BLVD,2012,10,1534401,10938
Manhattan,WEST 81 STREET,2018,10,96145,1344
Staten Island,W/B WINDERMERE RD @ STEUBEN  ST,2009,7,1300,522
Brooklyn,AVENUE P,2019,10,323052,3456
Brooklyn,FRANKLIN AVENUE,2017,11,28035,1673
Bronx,HUTCHINSON RIVER PKWY,2011,5,360496,997
Bronx,CEDAR AVENUE,2021,5,35100,1728
Bronx,SEDGWICK AV,2013,11,57501,1545
Brooklyn,FT HAMILTON PARKWAY,2018,5,9034,384
Manhattan,WEST 178 STREET,2014,9,95429,864
Queens,71 AV,2013,11,9826,286
Bronx,S/B DEKALB AVE @ EAST GUN HILL RD,2009,5,7478,761
Queens,61 STREET,2015,6,25500,1344
