boro,street,yr,m,sum_vol,count_requestid
Brooklyn,EAST 78 STREET,2016,6,5841,391
Bronx,HUTCHINSON RIVER PKWY,2013,6,509981,1420
Queens,N/B FRESH POND RD @ PUTNAM AVE,2010,7,32726,364
Brooklyn,QUINCY STREET,2018,11,43181,2877
Staten Island,EDGEWATER STREET,2017,5,50075,2688
Queens,ROCKAWAY BLVD EB APPROACH TO 108TH ST,2011,2,149186,1524
Brooklyn,FULTON STREET,2016,11,49185,934
Queens,UNION TURNPIKE,2014,10,616388,6144
Brooklyn,AV R,2012,12,55741,1511
Queens,127 STREET,2016,10,5158,767
Brooklyn,EAST 46 STREET,2015,5,6355,390
Manhattan,CORNELIA STREET,2018,4,11849,672
Manhattan,PARK AV,2016,2,214988,1824
Staten Island,AMBOY RD,2011,6,39818,689
Bronx,BRUCKNER BOULEVARD,2014,9,147134,768
Manhattan,W/B BRUCKNER BLVD RAMP @ 3 AVE BR,2009,9,265507,1200
Queens,JACKIE ROBINSON PKWY ET 4 WB,2018,6,23167,379
Brooklyn,CORNELIA STREET,2019,8,15940,672
Manhattan,E/B E 138 ST ( E LEG) @ 5 AVE,2009,10,15748,1384
Staten Island,WOOLLEY AV,2013,3,39850,766
Queens,HORACE HARDING EXPRESSWAY SR S,2014,9,40774,384
Manhattan,N/B AMSTERDAM AVE @ W 167 ST,2009,8,29396,351
Queens,CLEARVIEW EXPRESSWAY SR WEST,2014,9,9604,384
Brooklyn,W/B NORMAN AVE @ MCGUINNESS BLVD,2010,8,4807,232
Brooklyn,ADAMS STREET,2016,9,241470,2199
Brooklyn,19 ST,2012,9,9997,384
Staten Island,HOWARD AV,2012,4,62233,1279
Brooklyn,FLUSHING AVENUE,2016,12,199612,2656
Brooklyn,STOCKHOLM STREET,2017,6,26544,1344
Staten Island,MOON AVENUE,2015,2,404936,1512
Queens,FOREST AVENUE,2019,1,108778,2304
Brooklyn,PACIFIC STREET,2019,6,40051,2314
Queens,150 STREET,2015,6,79298,1344
Brooklyn,FARRAGUT ROAD,2018,10,64048,1344
Brooklyn,CLARENDON RD,2014,6,109988,1728
Queens,62nd DR APPROACH TO 108th ST.,2011,10,22071,856
Bronx,E 161 ST,2012,9,22894,392
Queens,BORDEN AVENUE BRIDGE,2017,3,83922,1267
Brooklyn,GOWANUS EXPRESSWAY EXIT 23 WB,2016,9,64816,759
Manhattan,EAST 102 STREET,2014,5,1425,96
Manhattan,EAST 48 STREET,2014,10,43061,1152
Queens,S/B HONEYWELL ST @ SKILLMAN AVE,2010,8,9405,670
Bronx,PELHAM PARKWAY,2014,10,153632,960
Brooklyn,W/B FARRAGUT RD @ E 23 ST,2010,11,4888,139
Bronx,CROSS BRONX EP NB EN HARROD AV,2018,10,44383,192
Brooklyn,FLATBUSH AVENUE,2019,10,1647625,9303
Bronx,N/B SEDGWICK AVE @ RESERVOIR AVE,2010,11,11318,848
Queens,MAURICE AV,2013,6,184092,3583
Brooklyn,NEW YORK AVENUE,2015,9,234502,3456
Brooklyn,GOLD STREET,2016,7,719,63
Queens,E/B BOOTH MEMORIAL AVE @ 160 ST,2010,10,42288,670
Manhattan,N/B 5 AVE (N LEG) @ W 141 ST,2009,9,10814,504
Brooklyn,S 2 ST,2013,1,11964,617
Staten Island,DRUMGOOLE ROAD WEST,2018,6,108590,672
Queens,VERNON BOULEVARD,2019,11,74184,1728
Brooklyn,92 STREET,2016,4,141422,1553
